candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner
ross-52996,rossd,Dennis,True,Ross,Dennis A. Ross,1,republican,57.5,57.5,15,FL,182999,True
lange-65665,langej,Jim,,Lange,Jim Lange,2,democrat,42.5,42.5,15,FL,135475,
buchanan-53213,buchananv,Vern,True,Buchanan,Vern Buchanan,1,republican,59.8,59.8,16,FL,230654,True
schneider-1009,schneiderj,Jan,,Schneider,Jan Schneider,2,democrat,40.2,40.2,16,FL,155262,
rooney-59163,rooneyt,Tom,True,Rooney,Tom Rooney,1,republican,61.8,61.8,17,FL,209348,True
freeman-63276,freemana,April,,Freeman,April Freeman,2,democrat,34.2,34.2,17,FL,115974,
sawyer-65666,sawyerj,John,,Sawyer,John Sawyer,3,no-party-affiliation,3.9,3.9,17,FL,13353,
mast-65757,mastb,Brian,,Mast,Brian Mast,1,republican,53.6,53.6,18,FL,201488,True
perkins-65771,perkinsr,Randy,,Perkins,Randy Perkins,2,democrat,43.1,43.1,18,FL,161918,
spalding-65667,spaldingc,Carla,,Spalding,Carla Spalding,3,no-party-affiliation,3.3,3.3,18,FL,12503,
rooney-65668,rooneyf,Francis,,Rooney,Francis Rooney,1,republican,65.9,65.9,19,FL,239225,True
neeld-11095,neeldr,Robert,,Neeld,Robert Neeld,2,democrat,34.1,34.1,19,FL,123812,
hastings-874,hastingsa,Alcee,True,Hastings,Alcee L. Hastings,2,democrat,80.3,80.3,20,FL,222914,True
stein-58845,steing,Gary,,Stein,Gary Stein,1,republican,19.7,19.7,20,FL,54646,
frankel-10720,frankell,Lois,True,Frankel,Lois Frankel,2,democrat,62.7,62.7,21,FL,210606,True
spain-64165,spainp,Paul,,Spain,Paul Spain,1,republican,35.1,35.1,21,FL,118038,
trout-62150,troutm,Michael,,Trout,Michael Trout,3,no-party-affiliation,2.1,2.1,21,FL,7217,
deutch-60128,deutcht,Ted,True,Deutch,Ted Deutch,2,democrat,58.9,58.9,22,FL,199113,True
mcgee-64164,mcgeea,Andrea,,McGee,Andrea McGee,1,republican,41.1,41.1,22,FL,138737,
wasserman-schultz-11357,wasserman_schultzd,Debbie,True,Wasserman Schultz,Debbie Wasserman Schultz,2,democrat,56.7,56.7,23,FL,183225,True
kaufman-64167,kaufmanj,Joe,,Kaufman,Joe Kaufman,1,republican,40.5,40.5,23,FL,130818,
endriss-65669,endrissd,Don,,Endriss,Don Endriss,3,no-party-affiliation,1.6,1.6,23,FL,5180,
milstein-65670,milsteinl,Lyle,,Milstein,Lyle Milstein,4,no-party-affiliation,1.2,1.2,23,FL,3897,
wilson-53086,wilsonf,Frederica,True,Wilson,Frederica S. Wilson,1,democrat,0.0,0.0,24,FL,0,True
